,hometown,majors,name,paragraph,year,cleandepts,Humanities,Social Science,Natural Science,Stem
0,,International Studies (General),,"Hometown: Honolulu, HI and Mercer Island, WA",2017,['International Studies'],,1,,
1,"Hometown: Seattle, WA","Biochemistry; Biology (Molecular, Cellular &amp; Develop), Departmental Honors",Rachel Boccamazzo,,2017,"['Biochemistry', 'Biology']",,,1,
2,"Hometown: Duluth, MN",Nursing,Sara DeRosier,,2017,['Nursing'],,,1,
3,,Drama; Sociology,,"Hometown: Vancouver, WA",2017,"['Drama', 'Sociology']",1,1,,
4,"Hometown: Spokane Valley, WA","Biology (Molecular, Cellular &amp; Develop), Interdisciplinary Honors",Hailee Herbst,,2017,['Biology'],,,1,
5,"Hometown: Denver, CO","Sociology, College Honors",Havana McElvaine,,2017,['Sociology'],,1,,
6,"Hometown: Seattle, WA","History; Music (Jazz Studies), Departmental Honors",Brendan McGovern,,2017,"['History', 'Music']",1,,,
7,"Hometown: Coralville, Iowa","Public Health, Departmental Honors",Rachel Rinehart,,2017,['Public Health'],,1,,
8,"Hometown: Santa Rosa, CA","English, College Honors",Tressa Thomas,,2017,['English'],1,,,
9,"Hometown: Everett, Wash.",Neurobiology,Tom Gebert,"Tom has spent the last 4+ years approaching the world scientifically. While a scientist at heart, he has come to realize that there are questions that science simply cannot answer. As he travels Tom wants to approach these questions and learn about himself, the world, and spirituality via travel in Sri Lanka, Thailand, India, Nepal, Indonesia, Ecuador, Peru, Chile, Argentina, and Brazil. Tom wants to be completely unscientific as he travels, embracing the world as he sees it, feels it, tastes it, and hears it. He hopes to open himself to the influence of others, objectively learning new ideas rather than imposing his own.",2016,['Neurobiology'],,,1,
10,"Hometown: Nordland, Wash.",Aquatic &amp; Fishery Sciences,Griffin Hoins,"Griffin is interested in people‰Ûªs relationship with their natural resources, whether it is conservation or utilization-based, and in countries facing the immediate threats of climate change. He wants to visit cultures where the ancient past and present are interwoven, places as diverse in geography and biodiversity, culture, and art from each other as they are from his home in the Pacific Northwest. He will travel to Greenland, Tanzania, Madagascar, India, Nepal, Myanmar, Palau, and Japan, seeking kindness and to gain understanding. On his return he hopes to enact awareness and collaboration help promote a global community.",2016,['Aquatic and Fishery Science'],,,1,
